Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37494,37716,37962,38246,38563,38901,39182
"Population, total",SP.POP.TOTL,Lithuania,LTU,2911109,2877325,2842639,2819200,2811089,2810369,2808380
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604,582014,596336,607950,620001,630419,640064
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,642900,652500,648400,658900,672000,685400,682500
"Population, total",SP.POP.TOTL,Madagascar,MDG,25426702,26099952,26788375,27494926,28219554,28953556,29691083
"Population, total",SP.POP.TOTL,Malawi,MWI,17085587,17557739,18039715,18528081,19025752,19533888,20047258
"Population, total",SP.POP.TOTL,Malaysia,MYS,31232798,31789685,32355644,32910967,33440596,33889558,34282399
"Population, total",SP.POP.TOTL,Maldives,MDV,428154,443308,458287,473099,487731,502118,516154
"Population, total",SP.POP.TOTL,Mali,MLI,18593022,19191289,19813011,20442030,21068405,21713836,22388630
"Population, total",SP.POP.TOTL,Malta,MLT,444220,454505,467106,483903,503912,515490,518150
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,48800,47709,46529,45285,44007,42706,41367
"Population, total",SP.POP.TOTL,Mauritania,MRT,3965959,4086657,4210600,4337685,4467708,4600131,4734874
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262879,1263747,1264887,1265577,1265985,1266014,1266334
"Population, total",SP.POP.TOTL,Mexico,MEX,121072306,122251351,123400057,124573711,125762982,126799054,127648148
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108716,109075,109481,109909,110282,110916,111624
"Population, total",SP.POP.TOTL,Moldova,MDA,2835978,2803186,2755189,2707203,2664224,2635130,2595809
"Population, total",SP.POP.TOTL,Monaco,MCO,36757,37276,37678,38154,38109,38050,38527
"Population, total",SP.POP.TOTL,Mongolia,MNG,3026864,3088856,3148917,3208189,3267673,3327204,3383741
"Population, total",SP.POP.TOTL,Montenegro,MNE,624651,625353,625982,626438,626753,626590,625053
"Population, total",SP.POP.TOTL,Morocco,MAR,34607588,35023457,35446392,35839760,36210898,36584208,36954442
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26547572,27337105,28166393,29018644,29884380,30783688,31707800
"Population, total",SP.POP.TOTL,Myanmar,MMR,51089056,51495696,51894938,52272247,52640713,53016522,53387102
"Population, total",SP.POP.TOTL,Namibia,NAM,2374300,2439213,2506853,2577327,2650494,2728762,2810548
"Population, total",SP.POP.TOTL,Nauru,NRU,10954,11150,11324,11477,11587,11643,11709
"Population, total",SP.POP.TOTL,Nepal,NPL,27823629,27955462,28011258,28079689,28414064,28966574,29475010
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923,17030314,17131296,17231624,17344874,17441500,17533044
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283168,283423,283546,283541,283606,284176,285214
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400,4714100,4813600,4900600,4979200,5090200,5111300
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6149417,6232666,6316231,6400080,6483657,6565267,6644741
"Population, total",SP.POP.TOTL,Niger,NER,19939498,20685753,21435446,22188069,22947757,23717613,24502140
